14
1                 2             3                       4
1                 10             4                       1
1                 13             2                       2
1                 20             1                       5
1                 26             0                       7
1                 31             4                       1
1                 50             1                       6
1                 55             2                       2
1                 60             3                       3
1                 67             1                       6
2                 9             3                       8
2                 26             3                       1
2                 35             0                       10
2                 40             3                       8
2                 43             0                       6
2                 45             3                       4
2                 46             4                       6
2                 58             1                       8
2                 65             0                       5
2                 70             4                       7
3                 11             2                       1
3                 20             2                       1
3                 21             0                       7
3                 32             2                       9
3                 39             2                       6
3                 43             3                       4
3                 45             1                       7
3                 61             1                       1
3                 68             3                       9
3                 73             2                       1
4                 6             2                       5
4                 13             4                       1
4                 31             3                       6
4                 33             3                       1
4                 70             3                       9
4                 71             2                       1
4                 76             0                       8
4                 82             2                       9
4                 84             4                       3
4                 90             1                       6
5                 9             4                       2
5                 17             0                       10
5                 23             3                       1
5                 25             2                       8
5                 27             0                       8
5                 36             3                       6
5                 45             0                       10
5                 51             0                       10
5                 70             1                       8
5                 72             1                       6
6                 8             3                       5
6                 10             0                       10
6                 28             0                       5
6                 32             1                       1
6                 37             4                       6
6                 49             4                       6
6                 50             4                       4
6                 74             4                       6
6                 90             2                       1
6                 98             3                       2
7                 8             0                       8
7                 9             3                       3
7                 12             3                       1
7                 19             4                       1
7                 34             1                       5
7                 76             3                       1
7                 83             0                       3
7                 86             1                       1
7                 88             0                       2
7                 95             2                       7
8                 14             0                       5
8                 28             2                       10
8                 41             4                       4
8                 44             4                       5
8                 50             1                       5
8                 71             0                       5
8                 75             1                       7
8                 85             3                       1
8                 86             2                       10
8                 98             0                       5
9                 2             2                       6
9                 12             0                       5
9                 18             1                       7
9                 53             3                       6
9                 71             1                       6
9                 88             3                       6
9                 90             1                       3
9                 95             1                       4
9                 97             1                       8
9                 98             1                       6
10                 5             1                       10
10                 8             1                       9
10                 14             1                       1
10                 19             3                       4
10                 26             0                       8
10                 57             2                       1
10                 61             4                       3
10                 74             1                       7
10                 80             4                       3
10                 89             1                       1
11                 9             2                       4
11                 27             3                       1
11                 32             0                       6
11                 35             0                       6
11                 39             4                       1
11                 40             4                       7
11                 49             4                       1
11                 51             0                       1
11                 52             3                       5
11                 56             0                       6
12                 10             0                       3
12                 20             2                       3
12                 26             0                       4
12                 39             3                       4
12                 56             4                       5
12                 57             4                       2
12                 66             3                       9
12                 75             2                       8
12                 87             4                       1
12                 93             0                       7
13                 6             0                       7
13                 7             2                       3
13                 19             4                       8
13                 20             2                       2
13                 24             1                       7
13                 37             1                       8
13                 44             3                       1
13                 50             4                       8
13                 69             3                       4
13                 71             4                       7
14                 1             2                       1
14                 22             0                       5
14                 23             1                       8
14                 26             3                       2
14                 30             1                       7
14                 31             0                       8
14                 34             1                       1
14                 38             1                       10
14                 46             1                       1
14                 59             2                       9
15                 2             4                       1
15                 9             4                       9
15                 41             2                       8
15                 43             1                       7
15                 44             1                       2
15                 47             3                       5
15                 52             3                       1
15                 66             2                       10
15                 71             0                       2
15                 72             4                       7
16                 15             4                       3
16                 37             2                       2
16                 55             1                       4
16                 64             4                       1
16                 70             0                       10
16                 79             4                       4
16                 81             4                       4
16                 96             1                       9
16                 98             4                       8
16                 100             0                       7
17                 2             1                       9
17                 8             0                       10
17                 41             3                       9
17                 60             3                       1
17                 61             4                       4
17                 68             3                       2
17                 83             2                       6
17                 86             3                       2
17                 88             1                       1
17                 91             4                       1
18                 3             3                       5
18                 17             3                       1
18                 23             4                       3
18                 29             3                       9
18                 37             1                       3
18                 41             1                       10
18                 65             2                       9
18                 67             2                       1
18                 76             0                       9
18                 77             0                       4
19                 2             1                       7
19                 5             4                       3
19                 18             1                       8
19                 38             2                       5
19                 43             3                       1
19                 75             3                       9
19                 81             0                       5
19                 89             4                       4
19                 91             3                       2
19                 96             4                       5
20                 4             1                       1
20                 5             0                       4
20                 9             1                       10
20                 15             1                       10
20                 29             0                       1
20                 30             4                       3
20                 34             1                       10
20                 41             0                       1
20                 54             4                       7
20                 59             3                       3
21                 30             1                       8
21                 53             0                       4
21                 60             0                       6
21                 61             1                       9
21                 62             1                       8
21                 64             1                       8
21                 65             2                       1
21                 85             0                       7
21                 89             0                       3
21                 94             1                       9
22                 12             4                       2
22                 15             0                       4
22                 16             0                       8
22                 19             2                       6
22                 33             1                       2
22                 39             3                       5
22                 57             2                       4
22                 64             2                       9
22                 73             0                       10
22                 75             3                       5
23                 6             1                       1
23                 10             2                       7
23                 48             1                       7
23                 52             4                       6
23                 60             3                       10
23                 73             0                       6
23                 80             1                       7
23                 83             4                       7
23                 87             1                       10
23                 89             4                       8
24                 1             1                       6
24                 17             3                       5
24                 24             0                       3
24                 37             2                       9
24                 38             0                       1
24                 42             4                       5
24                 52             2                       7
24                 60             0                       2
24                 68             3                       3
24                 79             3                       7
25                 1             3                       3
25                 5             1                       8
25                 7             2                       5
25                 11             0                       4
25                 51             1                       2
25                 54             3                       3
25                 61             0                       2
25                 79             2                       5
25                 84             2                       1
25                 93             2                       8
26                 22             1                       1
26                 27             0                       5
26                 34             4                       2
26                 43             2                       2
26                 50             0                       1
26                 52             1                       2
26                 65             0                       6
26                 71             2                       3
26                 78             3                       1
26                 84             2                       4
27                 2             3                       2
27                 7             3                       6
27                 10             3                       8
27                 16             4                       4
27                 20             1                       4
27                 22             0                       7
27                 33             2                       4
27                 42             1                       6
27                 46             0                       7
27                 48             3                       3
28                 3             0                       6
28                 4             3                       2
28                 20             2                       6
28                 63             4                       3
28                 72             0                       3
28                 85             2                       10
28                 91             1                       5
28                 98             2                       9
28                 99             2                       1
28                 100             2                       9
29                 14             4                       6
29                 17             3                       7
29                 45             2                       5
29                 58             3                       4
29                 69             4                       5
29                 70             3                       4
29                 73             1                       2
29                 77             3                       1
29                 82             1                       5
29                 86             4                       5
30                 10             2                       5
30                 21             3                       1
30                 46             3                       9
30                 55             1                       7
30                 67             3                       9
30                 75             4                       3
30                 81             2                       1
30                 88             3                       7
30                 92             2                       7
30                 93             2                       9
31                 7             2                       7
31                 29             0                       2
31                 69             3                       9
31                 76             2                       10
